,DealerNbr,DealerName,Clean Name,Report,Address1,City
114,1794018,express oil change,expressoilchange,Performance,,
115,1794018,express oil change,gambleautoservice,Performance,,
116,1794019,gamble auto service,kosproservice,Performance,,
117,1794022,ko's pro service,kosproservice,Performance,,
118,1794022,ko's pro service,superquickautomotive,Performance,,
119,1794034,super quick automotive inc.,superquickautomotive,Performance,,
120,1794034,super quick automotive inc.,tenthstreettire,Performance,,
121,1794039,tenth street tire,lapuentetire,Performance,,
122,1794043,la puente tire,mclenaghantire,Performance,,
123,1794211,mclenaghan tire inc.,mclenaghantire,Performance,,
124,1794211,mclenaghan tire inc.,performancetire,Performance,,
125,1794215,performance tire,cdtire,Performance,,
126,1794219,c & d tire,cdtire,Performance,,
127,1794219,c & d tire,cdtire,Performance,,
128,1794219,c & d tire,cdtire,Performance,,
129,1794219,c & d tire,completecarcare,Performance,,
130,1794220,complete car care,emeraldtire,Performance,,
131,1794131,emerald tire,carhartfeedandseed,Performance,,
132,1794132,carhart feed and seed,grantcountygeneraltire,Performance,,
133,1794133,grant county general tire inc,tiresforless,Performance,,
134,1794137,tires for less,epiccustoms,Performance,,
135,1794143,epic customs inc.,exhaustsolutions,Performance,,
136,1794150,"exhaust solutions, inc.",exhaustsolutions,Performance,,
137,1794150,"exhaust solutions, inc.",snydertirewintersville,Performance,,
138,1794155,snyder tire wintersville inc,snydertirewintersville,Performance,,
139,1794155,snyder tire wintersville inc,snydertirewintersville,Performance,,
140,1794155,snyder tire wintersville inc,qualitytire,Performance,,
141,1794157,quality tire,qualitytire,Performance,,
142,1794157,quality tire,parkwaynissan,Performance,,
143,1794160,parkway nissan,friermoodtireperu,Performance,,
144,1794166,friermood tire peru,superiorenterprisesincdbaindependentbodyt,Performance,,
145,1794170,superior enterprises inc. dba independent body & t,jdsautomotive,Performance,,
146,1794175,jds automotive,winchestertirealignment,Performance,,
147,1794177,winchester tire & alignment,winchestertirealignment,Performance,,
148,1794177,winchester tire & alignment,winchestertirealignment,Performance,,
149,1794177,winchester tire & alignment,winchestertirealignment,Performance,,
150,1794177,winchester tire & alignment,yorkshirebatterytire,Performance,,
151,1794180,yorkshire battery & tire,yorkshirebatterytire,Performance,,
152,1794180,yorkshire battery & tire,mwtire,Performance,,
153,1794185,m & w tire inc.,mwtire,Performance,,
154,1794185,m & w tire inc.,mwtire,Performance,,
155,1794185,m & w tire inc.,deansservicecenter,Performance,,
156,1794191,"dean's service center, inc.",brewersautomotiverepair,Performance,,
157,1794194,brewers automotive repair,brewersautomotiverepair,Performance,,
158,1794194,brewers automotive repair,saudertireservice,Performance,,
159,1794315,sauder tire service,bdrepairservices,Performance,,
160,1794317,b & d repair services,bdrepairservices,Performance,,
161,1794317,b & d repair services,bdrepairservices,Performance,,
162,1794317,b & d repair services,bdrepairservices,Performance,,
163,1794317,b & d repair services,countrytire,Performance,,
164,1794469,country tire,rutledgeautoservice,Performance,,
165,1794477,rutledge auto service,northcoastusedtirecenter,Performance,,
166,1794480,north coast used tire center,northcoastusedtirecenter,Performance,,
167,1794480,north coast used tire center,oriskanygaragetire,Performance,,
168,1794489,oriskany garage tire inc.,oriskanygaragetire,Performance,,
169,1794489,oriskany garage tire inc.,lynwoodtireautoservicecenter,Performance,,
170,1794490,lynwood tire & auto service center,wecotiredistributor,Performance,,
171,1794496,weco tire distributor,automasters,Performance,,
172,1794499,automasters,joesautorepair,Performance,,
173,1794500,"joe's auto repair, llc",lukerepair,Performance,,
174,1794506,luke repair,garnerstireauto,Performance,,
175,1794507,garner's tire & auto,genoaautomotiverepair,Performance,,
176,1794511,genoa automotive repair,bestonefleetserviceofevansville,Performance,,
177,1794513,"best one fleet service of evansville, inc",trendsetterstruckandauto,Performance,,
178,1794516,trend setters truck and auto,trendsetterstruckandauto,Performance,,
179,1794516,trend setters truck and auto,osykatire,Performance,,
180,1794520,osyka tire,osykatire,Performance,,
181,1794520,osyka tire,tuffyautoservicecenter,Performance,,
182,1794521,tuffy auto service center,oktire,Performance,,
183,1794523,ok tire,solistire,Performance,,
184,1794526,solis tire,mountainstatetireservice,Performance,,
185,1794527,mountain state tire service,samstireauto,Performance,,
186,1794528,sam's tire & auto inc.,raystire,Performance,,
187,1794529,ray's tire,raystire,Performance,,
188,1794529,ray's tire,raystire,Performance,,
189,1794529,ray's tire,tireworldincmaysville,Performance,,
190,1794532,"tire world inc,- maysville",newtontire,Performance,,
191,1794295,newton tire,newtontire,Performance,,
192,1794295,newton tire,newtontire,Performance,,
193,1794295,newton tire,westsidetire,Performance,,
194,1794300,westside tire,westsidetire,Performance,,
195,1794300,westside tire,bbfarmsupply,Performance,,
196,1794302,b & b farm supply,bbfarmsupply,Performance,,
197,1794302,b & b farm supply,bbfarmsupply,Performance,,
198,1794302,b & b farm supply,chestertowngoodyear,Performance,,
199,1794303,chestertown goodyear,chestertowngoodyear,Performance,,
200,1794303,chestertown goodyear,benefield,Performance,,
201,1794307,benefield,wrightsvilleautoservicecenter,Performance,,
202,1794311,wrightsville auto service center,wrightsvilleautoservicecenter,Performance,,
203,1794311,wrightsville auto service center,wrightsvilleautoservicecenter,Performance,,
204,1794311,wrightsville auto service center,leblanctire,Performance,,
205,1794662,leblanc tire,tommystireservice,Performance,,
206,1794663,tommys tire service,tommystireservice,Performance,,
207,1794663,tommys tire service,davesautorepairofritchie,Performance,,
208,1794664,dave's auto repair of ritchie co.,slipperyrocktireautorepair,Performance,,
209,1794666,slippery rock tire & auto repair llc,slipperyrocktireautorepair,Performance,,
210,1794666,slippery rock tire & auto repair llc,ultimatetireauto,Performance,,
211,1794669,ultimate tire & auto,bowmantireandwheel,Performance,,
212,1794672,bowman tire and wheel,tmatiremuffleralignmentsiouxfalls,Performance,,
213,1794675,tma - tire muffler alignment sioux falls,sanderstire,Performance,,
214,1794677,"sanders tire, inc.",justinstireauto,Performance,,
215,1794683,justin's tire & auto inc,justinstireauto,Performance,,
216,1794683,justin's tire & auto inc,eaglesonsauto,Performance,,
217,1794686,eaglesons  auto,dixonstirecenter,Performance,,
218,1794694,dixon's tire center,dixonstirecenter,Performance,,
219,1794694,dixon's tire center,tirewarehouse,Performance,,
220,1794695,tire warehouse inc.,glasgowtireautocenter,Performance,,
221,1794575,glasgow tire & auto center,harrodsburgwholesaletire,Performance,,
222,1794576,harrodsburg wholesale tire,augustacoop,Performance,,
223,1794577,augusta coop,genestireservice,Performance,,
224,1794587,"gene's tire service, inc.",lewisgeneraltires,Performance,,
225,1794588,lewis general tires,mysonstire2,Performance,,
226,1794595,mysons tire 2,arandastirerimgrand,Performance,,
227,1794604,arandas tire & rim - grand,arandastirerimgrand,Performance,,
228,1794604,arandas tire & rim - grand,tuffyautoservice,Performance,,
229,1794609,tuffy auto service,pdbautocare,Performance,,
230,1794610,pdb auto care,pdbautocare,Performance,,
231,1794610,pdb auto care,joestireshop,Performance,,
232,1794616,joe's tire shop,winstonwheelsandtires,Performance,,
233,1794619,winston wheels and tires,winstonwheelsandtires,Performance,,
234,1794619,winston wheels and tires,winstonwheelsandtires,Performance,,
235,1794619,winston wheels and tires,farmersunionoil,Performance,,
236,1794621,farmers union oil co.,farmersunionoil,Performance,,
237,1794621,farmers union oil co.,mikestires,Performance,,
238,1794625,mikes tires llc,jimgrizzletireco,Performance,,
239,1794628,jim grizzle tire co. inc.,scottiesspeedshop,Performance,,
240,1794639,scotties speed shop,ninetysixtireoil,Performance,,
241,1794640,ninety six tire & oil,greatbasintire,Performance,,
242,1794647,great basin tire,greatbasintire,Performance,,
243,1794647,great basin tire,bluemttire,Performance,,
244,1794652,blue mt tire,kunkletireservicecenter,Performance,,
245,1794653,kunkle tire & service center,burgesstire,Performance,,
246,1794795,burgess tire,westautorepair,Performance,,
247,1794796,west auto repair,topqualitycarcare,Performance,,
248,1794804,top quality car care,glasgowtireautocenter,Performance,,
249,1794575,glasgow tire & auto center,harrodsburgwholesaletire,Performance,,
250,1794576,harrodsburg wholesale tire,augustacoop,Performance,,
251,1794577,augusta coop,wheelcity,Performance,,
252,1794585,wheel city,wheelcity,Performance,,
253,1794585,wheel city,genestireservice,Performance,,
254,1794587,"gene's tire service, inc.",genestireservice,Performance,,
255,1794587,"gene's tire service, inc.",lewisgeneraltires,Performance,,
256,1794588,lewis general tires,precisionalignment,Performance,,
257,1794593,precision alignment,mysonstire2,Performance,,
258,1794595,mysons tire 2,mysonstire2,Performance,,
259,1794595,mysons tire 2,tcautomotive,Performance,,
260,1794600,t&c automotive,arandastirerimgrand,Performance,,
261,1794604,arandas tire & rim - grand,arandastirerimgrand,Performance,,
262,1794604,arandas tire & rim - grand,arandastirerimgrand,Performance,,
263,1794604,arandas tire & rim - grand,nuttalltirebattery,Performance,,
264,1794607,nuttall tire & battery,nuttalltirebattery,Performance,,
265,1794607,nuttall tire & battery,pdbautocare,Performance,,
266,1794610,pdb auto care,farmersunionoil,Performance,,
267,1794621,farmers union oil co.,jimgrizzletireco,Performance,,
268,1794628,jim grizzle tire co. inc.,yeomanservicecenter,Performance,,
269,1794631,yeoman service center inc.,yeomanservicecenter,Performance,,
270,1794631,yeoman service center inc.,affordabletire,Performance,,
271,1794632,affordable tire,jlauto,Performance,,
272,1794637,j&l auto,goldstoneautomotive,Performance,,
273,1794638,goldstone automotive inc.,goldstoneautomotive,Performance,,
274,1794638,goldstone automotive inc.,scottiesspeedshop,Performance,,
275,1794639,scotties speed shop,scottiesspeedshop,Performance,,
276,1794639,scotties speed shop,vanwormers,Performance,,
277,1794742,van wormers,kwikkleanlube,Performance,,
278,1794743,"kwik klean & lube, llc",nationaldiscounttire1,Performance,,
279,1794744,national discount tire 1,nationaldiscounttire1,Performance,,
280,1794744,national discount tire 1,sealstire,Performance,,
281,1794749,seals tire,sealstire,Performance,,
282,1794749,seals tire,matterntire,Performance,,
283,1794758,mattern tire,brewerstasupply,Performance,,
284,1794759,brewers t & a supply,midwaytire,Performance,,
285,1794761,midway tire,midwaytire,Performance,,
286,1794761,midway tire,vanwormers,Performance,,
287,1794742,van wormers,nationaldiscounttire1,Performance,,
288,1794744,national discount tire 1,nationaldiscounttire1,Performance,,
289,1794744,national discount tire 1,harringtonsautoservice,Performance,,
290,1794752,harrington's auto service,randymerrenautosales,Performance,,
291,1794757,randy merren auto sales,brewerstasupply,Performance,,
292,1794759,brewers t & a supply,mcmahontirebestone,Performance,,
293,1794770,mcmahon tire best one,lagrangeservicecenter,Performance,,
294,1794771,lagrange service center,harrisvilleautocenter,Performance,,
295,1794772,harrisville auto center,farmerscooperative,Performance,,
296,1794776,farmers cooperative,farmerscooperative,Performance,,
297,1794776,farmers cooperative,sansoneautoworks,Performance,,
298,1794779,sansone auto works llc,sansoneautoworks,Performance,,
