Dealer ID,DealerName,Clean Name,Report,Address,City,Key,TotalUnitsPurchased,RequiredUnits,PrimaryUnits,Primary%,SecondaryUnits,Secondary%,QualifyingUnits,Qualifying%,Non-QualifyingUnits,Non-Qualifying%
1810394,Boyd's Tire LLC,boydstire,Course,32 Tabernacle Road,Columbus,boydstir32taberncolumbus,167,0,167,100,0,0,138,82.63,29,17.37
1908395,Elite New and Used Tires,elitenewandusedtires,Course,8807 Southeastern Ave.,Indianapolis,elitenew8807soutindianap,308,0,308,100,0,0,224,72.73,84,27.27
1801381,OLDHAMS AUTO,oldhamsauto,Course,322 state road 16,st. Augustine,oldhamsa322statestaugust,339,0,339,100,0,0,216,63.72,123,36.28
1796747,Crossroads Automotive,crossroadsautomotive,Course,3210 Hwy 34 East,Newnan,crossroa3210hwy3newnan,234,0,234,100,0,0,192,82.05,42,17.95
1797235,Dailey Tire,daileytire,Course,1740 Eastern Ave,Gallipolis,daileyti1740eastgallipol,718,0,667,92.9,51,7.1,210,29.25,508,70.75
1800901,LKQ TRIPLETT TIRE DEPOT,lkqtripletttiredepot,Course,1533 TRIPLETT BLVD,AKRON,lkqtripl1533tripakron,354,0,354,100,0,0,129,36.44,225,63.56
1983185,Hercules Tire Sales,herculestiresales,Course,10130 E 51st St,Tulsa,hercules10130e51tulsa,707,626,707,100,0,0,680,96.18,27,3.82
1799323,Marks Tire & Automotive LLC,markstireautomotive,Course,1208 n 6th,st joseph,markstir1208n6thstjoseph,224,1,224,100,0,0,150,66.96,74,33.04
2030057,Donohue's Quicklube,donohuesquicklube,Course,2030 Eastern Avenue,Gallipolis,donohues2030eastgallipol,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1807373,A.W.E. Auto Service,aweautoservice,Course,1001 2nd St,Traer,aweautos10012ndstraer,154,46,154,100,0,0,133,86.36,21,13.64
1983124,Fuccillo Kia of Cape Coral,fuccillokiaofcapecoral,Course,404 N.E. Pine Island Road,Cape Coral,fuccillo404nepincapecora,398,0,398,100,0,0,398,100,0,0
1795861,FALLS TIRE SERVICE,fallstireservice,Course,305 4TH STREET SOUTH,GREAT FALLS,fallstir3054thstgreatfal,29,0,29,100,0,0,-1,-3.45,30,103.45
1801755,FOREST GROVE AUTO,forestgroveauto,Course,4010 Byron RD,HUDSONVILLE,forestgr4010byrohudsonvi,577,0,569,98.61,8,1.39,561,97.23,16,2.77
1800806,Center Exit Tire,centerexittire,Course,100 Pleasant drive,Aliquippa,centerex100pleasaliquipp,601,599,601,100,0,0,417,69.38,184,30.62
1812804,wolverine tire & auto care,wolverinetireautocare,Course,550 Durabilt Road,Spooner,wolverin550durabspooner,2195,0,2195,100,0,0,1731,78.86,464,21.14
1810208,Rapid Tire Exchange,rapidtireexchange,Course,953 Hwy 80E,Clinton,rapidtir953hwy80clinton,857,0,857,100,0,0,813,94.87,44,5.13
1812995,Conrad Tire and Automotive,conradtireandautomotive,Course,1028 Johnsontown Rd,Thomasville,conradti1028johnthomasvi,560,0,492,87.86,68,12.14,537,95.89,23,4.11
1800033,Best One Tire & Autocare of Richmond,bestonetireautocareofrichmond,Course,100 N 7th St,Richmond,bestonet100n7thsrichmond,705,0,705,100,0,0,432,61.28,273,38.72
1795133,Hartland Auto,hartlandauto,Course,1067 W.McPherson Hwy,Clyde,hartland1067wmcpclyde,372,0,372,100,0,0,133,35.75,239,64.25
1794411,K & S Tire,kstire,Course,1455 N West End Blvd,Quakertown,kstire1455nwesquakerto,3671,0,3671,100,0,0,2399,65.35,1272,34.65
1803231,JOE BUCKEY TIRE,joebuckeytire,Course,1039 lee st,zanesville,joebucke1039leeszanesvil,207,0,207,100,0,0,190,91.79,17,8.21
1805101,Sawyer Automotive,sawyerautomotive,Course,644 Massachusetts Ave,Acton,sawyerau644massaacton,317,0,317,100,0,0,307,96.85,10,3.15
