,DealerName,Clean Name,Report,Address,City
91,American Tire,americantire,Course,3275 Quakerbridge Rd,Mercerville
92,American Tire,americantire,Course,2302 Route 516,Old Bridge
93,Hub Tire Center,hubtirecenter,Course,819 N. US 27,Saint Johns
94,Al's Tire And Auto Repair,alstireandautorepair,Course,918 southampton rd,westfield
95,The Tire Shop Inc,thetireshopinc,Course,1102 Main St,Portage
96,U.S. AutoForce,usautoforce,Course,425 Better Way,Appleton
97,Hornsby Tire,hornsbytire,Course,3300 JEFFERSON AVENUE,NEWPORT NEWS
98,Premier Tire Terminal Inc.,premiertireterminalinc,Course,4650 Steele St,Denver
99,ATD,atd,Course,1415 West Commerce Way,Lincoln
100,Midas,midas,Course,1050 Mutual Way,Appleton
101,Carroll Tire,carrolltire,Course,2120 Creekside Pkwy.,
102,Cooper Tire & Rubber Company,coopertirerubbercompany,Course,701 Lima Avenue,Findlay
103,Stone tire and automotive,stonetireandautomotive,Course,302 e beebe Capps ex,Searcy
104,K & M Tire,kmtire,Course,3801 Greenway Circle,LAWRENCE
105,Randall Tire,randalltire,Course,10149 M St Hwy 16,Sparta
106,Cooper Tire,coopertire,Course,701 Lima Ave.,Findlay
107,Pathway Hyundai,pathwayhyundai,Course,1375 Youville Drive,Orleans
108,Leslie Tire Service,leslietireservice,Course,41600 Executive Drive,Harrison Township
109,Dunn Tire,dunntire,Course,475 Cayuga Rd. Suite 500,Buffalo
110,Dunn Tire,dunntire,Course,475 Cayuga Rd. Suite 500,Buffalo
111,K & M Tire,kmtire,Course,965 Spencerville Rd.,Delphos
112,Tire World Auto Repair Tire Pros,tireworldautorepairtirepros,Course,4420 Centennial Blvd.,Colorado Springs
113,Tire World Auto Repair Tire Pros,tireworldautorepairtirepros,Course,805 Cheyenne Meadows Rd,Colorado Springs
114,RDS AUTO SUPPLIES,rdsautosupplies,Course,1411 STATE ROUTE 147,DALMATIA
115,Tire World Auto Repair Tire Pros,tireworldautorepairtirepros,Course,750 Copper Center Prkwy,Colorado Springs
116,Fender Tire & Wheel,fendertirewheel,Course,2 GILL ROAD,WEAVERVILLE
117,Richfield Service Inc,richfieldserviceinc,Course,1810 Wolf Rd,Richfield
118,Agee's Service Inc.,ageesserviceinc,Course,121 SO 8TH,Sabetha
119,Dakota Wholesale Tire,dakotawholesaletire,Course,2700 MAIN AVE,Fargo
120,Davis Automotive,davisautomotive,Course,1003 Vine St,Hays
121,Tire World Auto Repair Tire Pros,tireworldautorepairtirepros,Course,805 Cheyenne Meadows Rd,Colorado Springs
122,Maverick Truckstop,mavericktruckstop,Course,250 South Hwy 11,Burwell
123,RDS AUTO SUPPLIES,rdsautosupplies,Course,1411 STATE ROUTE 147,DALMATIA
124,PALM BEACH TIRE PROS,palmbeachtirepros,Course,1360 HYPOLUXO RD.,LANTANA
125,U.S. AutoForce,usautoforce,Course,425 Better Way,Appleton
126,Reedy Creek Tire & Auto,reedycreektireauto,Course,4866 N NC HWY 150,Lexington
127,R & J's Tires,rjstires,Course,5079 E Middletown Rd,New Middletown
128,Blue Seal Petroleum,bluesealpetroleum,Course,1715 South Whitehead Dr.,DeWitt
129,Pot of Gold Quick Lube,potofgoldquicklube,Course,61 Franklin Tpke,Mahwah
130,Tire World Auto Repair Tire Pros,tireworldautorepairtirepros,Course,509 So. Nevada Ave.,Colorado Springs
131,U.S. AutoForce,usautoforce,Course,815 West 10th,Pella
132,HP Tire and Muffler LLC,hptireandmufflerllc,Course,100 w Main,cole camp
