,Dealer Number,Dealer Name,Store Address Line 1,Store City,Clean Name,Key
53,1904653,Aarons Muffler & Auto,1232 Windgate Drive,Fancy Gap,aaronsmufflerauto,aaronsmu1232windfancygap
54,1799605,ABBOTTS AUTO CENTER LLC,1979 MARION MARYSVILLE RD.,MARION,abbottsautocenter,abbottsa1979marimarion
55,1793735,ABC AUTO PARTS,213 W ROY FURMAN HWY,WIND RIDGE,abcautoparts,abcautop213wroyfwindridg
56,1793660,ABC DAYTON TIRE SALES,601 S Washington,MAGNOLIA,abcdaytontiresales,abcdayto601swashmagnolia
57,1983782,ABC Tire Shop,115 E Grant Avenue,Georgetown,abctireshop,abctires115egrangeorgeto
58,1798055,ABELOFF NISSAN,3259 ROUTE 611,ALTEMOSE,abeloffnissan,abeloffn3259routaltemose
59,1795093,ABERCROMBIE COMMERICAL TIRE SERVICE LLC.,PO BOX 18334,HUNTSVILLE,abercrombiecommericaltireservicellc,abercrompobox183huntsvil
60,1800311,ABNEY'S TIRE & LUBE,47 HWY 49 SOUTH,VIBURNUM,abneystirelube,abneysti47hwy49sviburnum
61,2027116,ABOVE & BEYOND AUTOMOTIVE LLC,2106 N MAIN STREET,SUMMERVILLE,abovebeyondautomotive,abovebey2106nmaisummervi
62,1798827,Abs Tire Service LLC,6600 W 650 N,BRYANT,abstireservice,abstires6600w650bryant
63,1797483,ACADIAN TIRE & TRAILER SALES LLC,604 NORTH MARKET STREET,OPELOUSAS,acadiantiretrailersales,acadiant604northopelousa
64,1799517,ACCESSORIES LTD,1009 FIRST  STREET,MOUNDSVILLE,accessories,accessor1009firsmoundsvi
65,1931636,Ace Elder Automotive,18698 State Hwy P,Canton,aceelderautomotive,aceelder18698stacanton
66,1799671,ACE HARDWARE,1518 N. OAK ST.,PEARSALL,acehardware,acehardw1518noakpearsall
67,1799523,ACE PARKER TIRE,PO BOX 131,SUMTER,aceparkertire,aceparkepobox131sumter
68,1798685,ACKLEY AUTO REPAIR,956 MIDDLE LAKE RD,DERUYTER,ackleyautorepair,ackleyau956middlderuyter
69,1800408,ACSPORT INC,PO BOX 15633,LITTLE ROCK,acsport,acsportipobox156littlero
70,1799644,ACTION TIRE,PO BOX 1002,GRAYSON,actiontire,actiontipobox100grayson
71,1800216,Adam Zuker Tire Co.,113 Prior St.,Cedartown,adamzukertire,adamzuke113priorcedartow
72,1793950,ADAMARK REPAIR LLC,1725 190TH STREET HIGHWAY 35,CENTURIA,adamarkrepair,adamarkr1725190tcenturia
73,1800837,ADAMS AUTO GROUP,1400 E. BOULEVARD,KOKOMO,adamsautogroup,adamsaut1400eboukokomo
74,1797436,ADAMS CUSTOM WHEELS & TIRES,PO BOX 126,BURNSVILLE,adamscustomwheelstires,adamscuspobox126burnsvil
75,1801194,ADAMS TIRE & BATTERY,1350 ALLEGHENY AVE,READING,adamstirebattery,adamstir1350allereading
76,1798820,ADDISON TIRE SERVICE,26041 US HIGHWAY 12,EDWARDSBURG,addisontireservice,addisont26041ushedwardsb
77,1799237,Adel Tire,215 N. Hutchinson Ave.,Adel,adeltire,adeltire215nhutcadel
78,1800636,ADEL TIRE & SERVICE INC.,509 GREENE ST.,ADEL,adeltireservice,adeltire509greenadel
79,1794195,ADVANCED AUTO CARE CENTER,3820 SW ARCHER RD,GAINESVILLE,advancedautocarecenter,advanced3820swargainesvi
80,1799590,ADVANCED AUTOMOTIVE & TOWING,201 2nd Ave. Southeast,BROWNING,advancedautomotivetowing,advanced2012ndavbrowning
81,1793803,ADVANTAGE TIRE,6331 HWY 90 EAST,LAKE CHARLES,advantagetire,advantag6331hwy9lakechar
82,1799386,ADVANTAGE TIRE & AUDIO,19970 COUNTY ROAD 6,COSHOCTON,advantagetireaudio,advantag19970coucoshocto
83,1795145,ADVANTAGE TIRE & SERVICE DBA BRADS TIRE & AUTOMOT,3818 DAKOTAS PLACE,SPRINGDALE,advantagetireservicedbabradstireautomot,advantag3818dakospringda
84,1793789,"ADVANTAGE TIRE, INC.",2930 N PACIFIC HWY,MEDFORD,advantagetire,advantag2930npacmedford
85,1794259,AFFORDABLE AUTO TECH,12497 COUNTY RD 8,WOODVILLE,affordableautotech,affordab12497couwoodvill
86,1796844,AFFORDABLE AUTOMOTIVE OF ANDOVER,34 CHESTNUT STREET,ANDOVER,affordableautomotiveofandover,affordab34chestnandover
87,1794265,AFFORDABLE TIRE,1841 SOUTH PRAIRIE VIEW ROAD,CHIPPEWA FALLS,affordabletire,affordab1841soutchippewa
88,1797541,AFFORDABLE TIRE STORE,1503 FAIRFIED AVE,GOSHEN,affordabletirestore,affordab1503fairgoshen
89,1797414,Affordable Tires,1313 SWEITZER STREET,GREENVILLE,affordabletires,affordab1313sweigreenvil
90,1799938,After Hours Tires,701 NORTH STREET,ENDICOTT,afterhourstires,afterhou701northendicott
91,1796161,AG TIRE SALES & SERVICE,12996 TROY CENTER RD,CENTERVILLE,agtiresalesservice,agtiresa12996trocentervi
92,1794926,AGLAND COOP,115 S. 1ST ST.,PACKSTON,aglandcoop,aglandco115s1stspackston
