,DealerName,Clean Name,Report,Address,City,Key
67,POMPENDER'S AUTO,pompendersauto,Course,2852 RTE.20/ P.O. BOX 108,SHERIDAN,pompende2852rte2sheridan
68,Dannys Tire & Quick Lube,dannystirequicklube,Course,2053 S Shady St,Mountain City,dannysti2053sshamountain
69,Cooper Tire,coopertire,Course,701 Lima Ave,Findlay,cooperti701limaafindlay
70,Super Tire and Muffler,supertireandmuffler,Course,,,
71,Super Tire and Muffler,supertireandmuffler,Course,,,
72,Cooper Tire,coopertire,Course,557 Birch Mountain Rd,Manchester,cooperti557birchmanchest
73,U.S. AutoForce,usautoforce,Course,815 West 10th,pella,usautofo815west1pella
74,timbes tire,timbestire,Course,308 hwy 72,burnsville,timbesti308hwy72burnsvil
75,Seaview Tire & Brake Center,seaviewtirebrakecenter,Course,66 West Manor Dr,Pacifica,seaviewt66westmapacifica
76,Fender's Sales and Service,fenderssalesandservice,Course,,,
77,Raceway Tire & Exhaust,racewaytireexhaust,Course,209 S Lincoln,Knoxville,racewayt209slincknoxvill
78,Richards Tire Inc,richardstire,Course,1813 US 31 North,Petoskey,richards1813us31petoskey
79,Richard's tire,richardstire,Course,1813 US 31 North,Petoskey,richards1813us31petoskey
80,Leslie Tire Service,leslietireservice,Course,41600 Executive Drive,Harrison Township,leslieti41600exeharrison
81,cooper tire and rubber co.,coopertireandrubber,Course,701 lima ave,findlay,cooperti701limaafindlay
82,west 10 tire center inc,west10tirecenter,Course,108 route 10,succasunna,west10ti108routesuccasun
83,American Tire,americantire,Course,281 US 22,Green Brook Township,american281us22greenbro
84,American Tire,americantire,Course,281 US 22,Green Brook Township,american281us22greenbro
85,American Tire,americantire,Course,281 US 22,Green Brook Township,american281us22greenbro
86,Warren Tire,warrentire,Course,227 Mac Donald,Warren,warrenti227macdowarren
87,American Tire,americantire,Course,76 Church St,Flemington,american76churchflemingt
88,American Tire,americantire,Course,165 Route 206,Chester,american165routechester
89,American Tire,americantire,Course,165 Route 206,Chester,american165routechester
90,Tire Rama,tirerama,Course,2550 Gabel Rd.,BILLINGS,tirerama2550gabebillings
91,American Tire,americantire,Course,3275 Quakerbridge Rd,Mercerville,american3275quakmercervi
92,American Tire,americantire,Course,2302 Route 516,Old Bridge,american2302routoldbridg
93,Hub Tire Center,hubtirecenter,Course,819 N. US 27,Saint Johns,hubtirec819nus27saintjoh
94,Al's Tire And Auto Repair,alstireandautorepair,Course,918 southampton rd,westfield,alstirea918southwestfiel
95,The Tire Shop Inc,thetireshop,Course,1102 Main St,Portage,thetires1102mainportage
96,U.S. AutoForce,usautoforce,Course,425 Better Way,Appleton,usautofo425betteappleton
97,Hornsby Tire,hornsbytire,Course,3300 JEFFERSON AVENUE,NEWPORT NEWS,hornsbyt3300jeffnewportn
98,Premier Tire Terminal Inc.,premiertireterminal,Course,4650 Steele St,Denver,premiert4650steedenver
99,ATD,atd,Course,1415 West Commerce Way,Lincoln,atd1415westlincoln
100,Midas,midas,Course,1050 Mutual Way,Appleton,midas1050mutuappleton
101,Carroll Tire,carrolltire,Course,2120 Creekside Pkwy.,,
102,Cooper Tire & Rubber Company,coopertirerubber,Course,701 Lima Avenue,Findlay,cooperti701limaafindlay
103,Stone tire and automotive,stonetireandautomotive,Course,302 e beebe Capps ex,Searcy,stonetir302ebeebsearcy
104,K & M Tire,kmtire,Course,3801 Greenway Circle,LAWRENCE,kmtire3801greelawrence
105,Randall Tire,randalltire,Course,10149 M St Hwy 16,Sparta,randallt10149mstsparta
106,Cooper Tire,coopertire,Course,701 Lima Ave.,Findlay,cooperti701limaafindlay
107,Pathway Hyundai,pathwayhyundai,Course,1375 Youville Drive,Orleans,pathwayh1375youvorleans
108,Leslie Tire Service,leslietireservice,Course,41600 Executive Drive,Harrison Township,leslieti41600exeharrison
109,Dunn Tire,dunntire,Course,475 Cayuga Rd. Suite 500,Buffalo,dunntire475cayugbuffalo
110,Dunn Tire,dunntire,Course,475 Cayuga Rd. Suite 500,Buffalo,dunntire475cayugbuffalo
111,K & M Tire,kmtire,Course,965 Spencerville Rd.,Delphos,kmtire965spencdelphos
112,Tire World Auto Repair Tire Pros,tireworldautorepairtirepros,Course,4420 Centennial Blvd.,Colorado Springs,tireworl4420centcolorado
