,Id,Name,Address1,City,Clean Name,Report,Key
60,2006331,pageland tire company,p0 b0x 206,pageland,prestigeautomotive,Performance,pagelandp0b0x206pageland
61,2006332,prestige automotive,1 hardy place,yonkers,stjoetire,Performance,prestige1hardyplyonkers
62,2006333,st. joe tire,2790 w. hwy 98,port st. joe,actireservice,Performance,stjoetir2790whwyportstjo
63,2006334,a-c tire & service,5440 dixie hwy,waterford,allieddiscounttirebrake,Performance,actirese5440dixiwaterfor
64,2006335,allied discount tire & brake inc,4460 johnson st,lafayette,allieddiscounttirebrake,Performance,allieddi4460johnlafayett
65,2006336,allied discount tire & brake inc,7695 airline hwy,baton rouge,newlontire,Performance,allieddi7695airlbatonrou
66,2006337,newlon tire,530 carroll st.,new lexington,timsautorepair,Performance,newlonti530carronewlexin
67,2006338,tims auto repair llc,157 marsh creek rd,wellsboro,performanceautomotive,Performance,timsauto157marshwellsbor
68,2006339,performance automotive,po box 5048,eagle,sweeneysservicecenter,Performance,performapobox504eagle
69,2006340,sweeneys service center,229 route 18 south,east brunswick,stewstireservice,Performance,sweeneys229routeeastbrun
70,2006341,stews tire service,3930 independence dr,schnecksville,clouserauto,Performance,stewstir3930indeschnecks
71,2006342,"clouser auto, inc",231 w jackson st,auburn,suburbantirewholesale,Performance,clousera231wjackauburn
72,2006343,suburban tire wholesale inc,6940 bleck dr,rockford,scottstireautocenter,Performance,suburban6940blecrockford
73,2006344,scotts tire & auto center inc,1011 25th ave,phenix city,brentsagautorepair,Performance,scottsti101125thphenixci
74,2006345,brents ag & auto repair,1683 highway 65 # b,hampton,expresstire,Performance,brentsag1683highhampton
75,2006346,express tire llc,1218 s 4th st,chickasha,cbjtirealignment,Performance,expresst1218s4thchickash
76,2006347,cbj tire & alignment,710 west hwy 82,gainesville,kenwoodytire,Performance,cbjtirea710westhgainesvi
77,2006348,ken woody tire,98 hemlock dr,bakersville,dctireandexhaust,Performance,kenwoody98hemlocbakersvi
78,2006349,dc tire and exhaust,222 bridge st,davis city,danstire,Performance,dctirean222bridgdaviscit
79,2006350,dan's tire,6730 2nd ave west,williston,grimesexxon,Performance,danstire67302ndawillisto
80,2006351,grimes exxon,po box 456,normangee,alltireservice,Performance,grimesexpobox456normange
81,2006352,all tire & service,9130 clubwood dr,walled lake,tiresplus,Performance,alltires9130clubwalledla
82,2006353,tires plus llc,252 flanders rd,niantic,foremantire,Performance,tiresplu252flandniantic
83,2006354,foreman tire,102 3rd ave,alton,ricksserviceshop,Performance,foremant1023rdavalton
84,2006355,ricks service shop,121 e chicago st,quincy,mstires,Performance,ricksser121echicquincy
85,2006356,m & s tires llc,6209 us rt 20,bellevue,advantagetire,Performance,mstiresl6209usrtbellevue
86,2006357,advantage tire,2930 n pacific hwy,medford,fortenberryservicecenter,Performance,advantag2930npacmedford
87,2006358,fortenberry service center,po box 12,silver creek,timscarcare,Performance,fortenbepobox12silvercr
88,2006359,tim's car care,13589 airline hwy.,gonzales,bestforless,Performance,timscarc13589airgonzales
89,2006360,best for less,28715 via montezuma,temecula,bangortire,Performance,bestforl28715viatemecula
90,2006361,bangor tire co,35 market street,bangor,kundertautotruckservice,Performance,bangorti35marketbangor
91,2006362,kundert auto & truck service,1224 18th st,monroe,mabebrothersservice,Performance,kunderta122418thmonroe
92,2006363,mabe brothers service,2428 nc 8 hwy n,danbury,corwinchryslerdodge,Performance,mabebrot2428nc8hdanbury
93,2006364,corwin chrysler dodge,1906 burlington lane,west fargo,craigandlisaauto,Performance,corwinch1906burlwestfarg
94,2006365,craig and lisa auto,1520 route 37w,toms river,kwikitireii,Performance,craigand1520routtomsrive
95,2006366,kwiki tire ii,1680 s main,delta,beeroiltire,Performance,kwikitir1680smaidelta
96,2006367,beer oil & tire,10 e derrynane st,le center,parenterprises,Performance,beeroilt10ederrylecenter
