,DealerName,Clean Name,Report
146,jds automotive,winchestertirealignment,Performance
147,winchester tire & alignment,winchestertirealignment,Performance
148,winchester tire & alignment,winchestertirealignment,Performance
149,winchester tire & alignment,winchestertirealignment,Performance
150,winchester tire & alignment,yorkshirebatterytire,Performance
151,yorkshire battery & tire,yorkshirebatterytire,Performance
152,yorkshire battery & tire,mwtire,Performance
153,m & w tire inc.,mwtire,Performance
154,m & w tire inc.,mwtire,Performance
155,m & w tire inc.,deansservicecenter,Performance
156,"dean's service center, inc.",brewersautomotiverepair,Performance
157,brewers automotive repair,brewersautomotiverepair,Performance
158,brewers automotive repair,saudertireservice,Performance
159,sauder tire service,bdrepairservices,Performance
160,b & d repair services,bdrepairservices,Performance
161,b & d repair services,bdrepairservices,Performance
162,b & d repair services,bdrepairservices,Performance
163,b & d repair services,countrytire,Performance
164,country tire,rutledgeautoservice,Performance
165,rutledge auto service,northcoastusedtirecenter,Performance
166,north coast used tire center,northcoastusedtirecenter,Performance
167,north coast used tire center,oriskanygaragetire,Performance
168,oriskany garage tire inc.,oriskanygaragetire,Performance
169,oriskany garage tire inc.,lynwoodtireautoservicecenter,Performance
170,lynwood tire & auto service center,wecotiredistributor,Performance
171,weco tire distributor,automasters,Performance
172,automasters,joesautorepair,Performance
173,"joe's auto repair, llc",lukerepair,Performance
174,luke repair,garnerstireauto,Performance
175,garner's tire & auto,genoaautomotiverepair,Performance
176,genoa automotive repair,bestonefleetserviceofevansville,Performance
177,"best one fleet service of evansville, inc",trendsetterstruckandauto,Performance
178,trend setters truck and auto,trendsetterstruckandauto,Performance
179,trend setters truck and auto,osykatire,Performance
180,osyka tire,osykatire,Performance
181,osyka tire,tuffyautoservicecenter,Performance
182,tuffy auto service center,oktire,Performance
183,ok tire,solistire,Performance
184,solis tire,mountainstatetireservice,Performance
185,mountain state tire service,samstireauto,Performance
186,sam's tire & auto inc.,raystire,Performance
187,ray's tire,raystire,Performance
188,ray's tire,raystire,Performance
189,ray's tire,tireworldincmaysville,Performance
190,"tire world inc,- maysville",newtontire,Performance
191,newton tire,newtontire,Performance
192,newton tire,newtontire,Performance
193,newton tire,westsidetire,Performance
194,westside tire,westsidetire,Performance
195,westside tire,bbfarmsupply,Performance
196,b & b farm supply,bbfarmsupply,Performance
197,b & b farm supply,bbfarmsupply,Performance
198,b & b farm supply,chestertowngoodyear,Performance
199,chestertown goodyear,chestertowngoodyear,Performance
200,chestertown goodyear,benefield,Performance
201,benefield,wrightsvilleautoservicecenter,Performance
202,wrightsville auto service center,wrightsvilleautoservicecenter,Performance
203,wrightsville auto service center,wrightsvilleautoservicecenter,Performance
204,wrightsville auto service center,leblanctire,Performance
205,leblanc tire,tommystireservice,Performance
206,tommys tire service,tommystireservice,Performance
207,tommys tire service,davesautorepairofritchie,Performance
208,dave's auto repair of ritchie co.,slipperyrocktireautorepair,Performance
209,slippery rock tire & auto repair llc,slipperyrocktireautorepair,Performance
210,slippery rock tire & auto repair llc,ultimatetireauto,Performance
211,ultimate tire & auto,bowmantireandwheel,Performance
212,bowman tire and wheel,tmatiremuffleralignmentsiouxfalls,Performance
213,tma - tire muffler alignment sioux falls,sanderstire,Performance
214,"sanders tire, inc.",justinstireauto,Performance
215,justin's tire & auto inc,justinstireauto,Performance
216,justin's tire & auto inc,eaglesonsauto,Performance
217,eaglesons  auto,dixonstirecenter,Performance
218,dixon's tire center,dixonstirecenter,Performance
219,dixon's tire center,tirewarehouse,Performance
220,tire warehouse inc.,glasgowtireautocenter,Performance
221,glasgow tire & auto center,harrodsburgwholesaletire,Performance
222,harrodsburg wholesale tire,augustacoop,Performance
223,augusta coop,genestireservice,Performance
224,"gene's tire service, inc.",lewisgeneraltires,Performance
225,lewis general tires,mysonstire2,Performance
226,mysons tire 2,arandastirerimgrand,Performance
227,arandas tire & rim - grand,arandastirerimgrand,Performance
228,arandas tire & rim - grand,tuffyautoservice,Performance
229,tuffy auto service,pdbautocare,Performance
230,pdb auto care,pdbautocare,Performance
231,pdb auto care,joestireshop,Performance
232,joe's tire shop,winstonwheelsandtires,Performance
233,winston wheels and tires,winstonwheelsandtires,Performance
234,winston wheels and tires,winstonwheelsandtires,Performance
235,winston wheels and tires,farmersunionoil,Performance
236,farmers union oil co.,farmersunionoil,Performance
237,farmers union oil co.,mikestires,Performance
238,mikes tires llc,jimgrizzletireco,Performance
239,jim grizzle tire co. inc.,scottiesspeedshop,Performance
240,scotties speed shop,ninetysixtireoil,Performance
241,ninety six tire & oil,greatbasintire,Performance
242,great basin tire,greatbasintire,Performance
243,great basin tire,bluemttire,Performance
244,blue mt tire,kunkletireservicecenter,Performance
245,kunkle tire & service center,burgesstire,Performance
246,burgess tire,westautorepair,Performance
247,west auto repair,topqualitycarcare,Performance
248,top quality car care,glasgowtireautocenter,Performance
249,glasgow tire & auto center,harrodsburgwholesaletire,Performance
250,harrodsburg wholesale tire,augustacoop,Performance
251,augusta coop,wheelcity,Performance
252,wheel city,wheelcity,Performance
253,wheel city,genestireservice,Performance
254,"gene's tire service, inc.",genestireservice,Performance
255,"gene's tire service, inc.",lewisgeneraltires,Performance
256,lewis general tires,precisionalignment,Performance
257,precision alignment,mysonstire2,Performance
258,mysons tire 2,mysonstire2,Performance
259,mysons tire 2,tcautomotive,Performance
260,t&c automotive,arandastirerimgrand,Performance
261,arandas tire & rim - grand,arandastirerimgrand,Performance
262,arandas tire & rim - grand,arandastirerimgrand,Performance
263,arandas tire & rim - grand,nuttalltirebattery,Performance
264,nuttall tire & battery,nuttalltirebattery,Performance
265,nuttall tire & battery,pdbautocare,Performance
