,DealerName,Clean Name,Report
147,Tire Discounter Group,tirediscountergroup,Course
148,Tire Discounter Group,tirediscountergroup,Course
149,TIRE COUNTRY OF MEBANE,tirecountryofmebane,Course
150,Ultimate Automotive,ultimateautomotive,Course
151,Weber Tires Inc,webertiresinc,Course
152,Rockland Tire & Auto Service,rocklandtireautoservice,Course
153,South Boston True Value,southbostontruevalue,Course
154,Kauffman Tire,kauffmantire,Course
155,Roland's Tire Service,rolandstireservice,Course
156,South Boston True Value,southbostontruevalue,Course
157,Hostetler Tire & Auto Sales Inc.,hostetlertireautosalesinc,Course
158,McCullough Tire,mcculloughtire,Course
159,mcculloughtire,mcculloughtire,Course
160,ATD,atd,Course
161,ATD,atd,Course
162,Pro Tire & Alignment,protirealignment,Course
163,Kauffman Tire,kauffmantire,Course
164,Douglas County AutoCare,douglascountyautocare,Course
165,K & W Tire Co,kwtireco,Course
166,Tire Dealers Warehouse,tiredealerswarehouse,Course
167,TAYLORS FAMILY CAR CARE,taylorsfamilycarcare,Course
168,Tire Dealers Warehouse,tiredealerswarehouse,Course
169,Tire Dealers Warehouse,tiredealerswarehouse,Course
170,Connecticut Tire,connecticuttire,Course
171,Lube Depot and Repair,lubedepotandrepair,Course
172,Lube Depot and Repair,lubedepotandrepair,Course
173,Lube Depot and Repair,lubedepotandrepair,Course
174,Tire Dealers Warehouse,tiredealerswarehouse,Course
175,Freedman Auto Service,freedmanautoservice,Course
176,Crossroads Automotive,crossroadsautomotive,Course
177,National Tire Warehouse,nationaltirewarehouse,Course
178,National Tire Warehouse,nationaltirewarehouse,Course
179,Free Service Tire Co,freeservicetireco,Course
180,National Tire Warehouse,nationaltirewarehouse,Course
181,Tims Tire Service,timstireservice,Course
182,National Tire Warehouse,nationaltirewarehouse,Course
183,Breighner Tire LLC,breighnertirellc,Course
184,JOHN DEERY MOTORS,johndeerymotors,Course
185,SimpleTire,simpletire,Course
186,Kerr Tire and Automotive,kerrtireandautomotive,Course
187,Downtown Safeway Tire,downtownsafewaytire,Course
188,Enns Battery & Tire,ennsbatterytire,Course
189,Tetrault Tire Pros,tetraulttirepros,Course
190,Florida Georgia Wholesale Tire,floridageorgiawholesaletire,Course
191,ATD,atd,Course
192,Kerr Tire and Automotive,kerrtireandautomotive,Course
193,Kerr Tire and Automotive,kerrtireandautomotive,Course
194,Kerr Tire and Automotive,kerrtireandautomotive,Course
195,Kerr Tire and Automotive,kerrtireandautomotive,Course
196,Kerr Tire and Automotive,kerrtireandautomotive,Course
197,American Tire Distributors,americantiredistributors,Course
198,Pot of Gold Quick Lube,potofgoldquicklube,Course
199,JET TIRE SERVICE,jettireservice,Course
200,Farm King Supply,farmkingsupply,Course
201,DIXON'S AUTO SERVICE,dixonsautoservice,Course
202,Raben Tire Company,rabentirecompany,Course
203,Raben Tire Company,rabentirecompany,Course
204,Raben Tire Company,rabentirecompany,Course
205,AUTO TECH,autotech,Course
206,Car-X Tire & Auto,carxtireauto,Course
